earnings_date,name,short_float,symbol,datetime,url
2022-02-03,Ubiquiti Inc.,0.58,UI,2022-01-10,https://finance.yahoo.com/quote/UI/
2022-02-10,"Tapestry, Inc.",1.61,TPR,2022-01-10,https://finance.yahoo.com/quote/TPR/
2022-02-16,Universal Electronics Inc.,0.95,UEIC,2022-01-10,https://finance.yahoo.com/quote/UEIC/
2022-03-08,"UMH Properties, Inc.",0.74,UMH,2022-01-10,https://finance.yahoo.com/quote/UMH/
2022-02-01,"United Parcel Service, Inc.",0.84,UPS,2022-01-10,https://finance.yahoo.com/quote/UPS/
2018-04-25,"Under Armour, Inc.",1.41,UA,2022-01-10,https://finance.yahoo.com/quote/UA/
2022-03-08,"United Natural Foods, Inc.",3.74,UNFI,2022-01-10,https://finance.yahoo.com/quote/UNFI/
2022-01-19,UnitedHealth Group Incorporated,0.57,UNH,2022-01-10,https://finance.yahoo.com/quote/UNH/
2022-03-07,Liberty All-Star Equity Fund,0.15,USA,2022-01-10,https://finance.yahoo.com/quote/USA/
2022-02-21,"CVR Partners, LP",0.09,UAN,2022-01-10,https://finance.yahoo.com/quote/UAN/
2022-02-21,Upwork Inc.,4.94,UPWK,2022-01-10,https://finance.yahoo.com/quote/UPWK/
2022-02-23,"U.S. Physical Therapy, Inc.",4.68,USPH,2022-01-10,https://finance.yahoo.com/quote/USPH/
2022-01-19,U.S. Bancorp,0.57,USB,2022-01-10,https://finance.yahoo.com/quote/USB/
2022-02-14,"USA Compression Partners, LP",0.55,USAC,2022-01-10,https://finance.yahoo.com/quote/USAC/
2022-02-01,Unum Group,2.46,UNM,2022-01-10,https://finance.yahoo.com/quote/UNM/
2021-12-15,Uxin Limited,1.51,UXIN,2022-01-10,https://finance.yahoo.com/quote/UXIN/
2021-11-02,Valaris Limited,1.47,VAL,2022-01-10,https://finance.yahoo.com/quote/VAL/
2022-03-21,Energy Fuels Inc,10.61,UUUU,2022-01-10,https://finance.yahoo.com/quote/UUUU/
2020-09-08,Urstadt Biddle Properties Inc.,0.03,UBP,2022-01-10,https://finance.yahoo.com/quote/UBP/
2022-02-15,"Ultra Clean Holdings, Inc.",1.34,UCTT,2022-01-10,https://finance.yahoo.com/quote/UCTT/
2022-01-26,Visa Inc.,1.04,V,2022-01-10,https://finance.yahoo.com/quote/V/
2022-01-20,Union Pacific Corporation,1.29,UNP,2022-01-10,https://finance.yahoo.com/quote/UNP/
2022-01-25,"United Rentals, Inc.",2.9,URI,2022-01-10,https://finance.yahoo.com/quote/URI/
2022-02-28,Veeva Systems Inc.,1.04,VEEV,2022-01-10,https://finance.yahoo.com/quote/VEEV/
2022-01-26,"U.S. Xpress Enterprises, Inc.",2.34,USX,2022-01-10,https://finance.yahoo.com/quote/USX/
2022-02-28,"VBI Vaccines, Inc.",7.32,VBIV,2022-01-10,https://finance.yahoo.com/quote/VBIV/
2022-03-29,"Verb Technology Company, Inc.",6.94,VERB,2022-01-10,https://finance.yahoo.com/quote/VERB/
2022-03-07,Vermilion Energy Inc.,3.97,VET,2022-01-10,https://finance.yahoo.com/quote/VET/
2022-02-09,Veeco Instruments Inc.,7.26,VECO,2022-01-10,https://finance.yahoo.com/quote/VECO/
2022-02-22,ViacomCBS Inc.,7.34,VIAC,2022-01-10,https://finance.yahoo.com/quote/VIAC/
2022-03-02,"Veritone, Inc.",9.37,VERI,2022-01-10,https://finance.yahoo.com/quote/VERI/
2021-11-12,Venus Concept Inc.,0.89,VERO,2022-01-10,https://finance.yahoo.com/quote/VERO/
2022-03-14,"Village Farms International, In",8.72,VFF,2022-01-10,https://finance.yahoo.com/quote/VFF/
2022-02-09,"Vocera Communications, Inc.",10.64,VCRA,2022-01-10,https://finance.yahoo.com/quote/VCRA/
2022-03-08,"Vertex, Inc.",0.76,VERX,2022-01-10,https://finance.yahoo.com/quote/VERX/
2022-02-08,Veru Inc.,3.33,VERU,2022-01-10,https://finance.yahoo.com/quote/VERU/
2022-02-22,Vector Group Ltd.,2.37,VGR,2022-01-10,https://finance.yahoo.com/quote/VGR/
2022-02-16,VICI Properties Inc.,12.77,VICI,2022-01-10,https://finance.yahoo.com/quote/VICI/
2022-01-28,V.F. Corporation,3.27,VFC,2022-01-10,https://finance.yahoo.com/quote/VFC/
2022-02-07,Universal Corporation,1.47,UVV,2022-01-10,https://finance.yahoo.com/quote/UVV/
2020-08-10,VirnetX Holding Corp,5.84,VHC,2022-01-10,https://finance.yahoo.com/quote/VHC/
2022-03-29,"Vislink Technologies, Inc.",12.95,VISL,2022-01-10,https://finance.yahoo.com/quote/VISL/
2022-03-23,"Viomi Technology Co., Ltd",0.88,VIOT,2022-01-10,https://finance.yahoo.com/quote/VIOT/
2021-08-13,UTStarcom Holdings Corp,0.1,UTSI,2022-01-10,https://finance.yahoo.com/quote/UTSI/
2022-02-16,Vonage Holdings Corp.,10.13,VG,2022-01-10,https://finance.yahoo.com/quote/VG/
2022-02-22,"Vapotherm, Inc.",2.88,VAPO,2022-01-10,https://finance.yahoo.com/quote/VAPO/
2022-02-23,Vicor Corporation,1.92,VICR,2022-01-10,https://finance.yahoo.com/quote/VICR/
2022-02-23,UNIVERSAL INSURANCE HOLDINGS IN,1.13,UVE,2022-01-10,https://finance.yahoo.com/quote/UVE/
2020-11-06,ViacomCBS Inc.,0.08,VIACA,2022-01-10,https://finance.yahoo.com/quote/VIACA/
2022-02-09,"Virtu Financial, Inc.",4.8,VIRT,2022-01-10,https://finance.yahoo.com/quote/VIRT/
2022-02-15,"Viking Therapeutics, Inc.",5.31,VKTX,2022-01-10,https://finance.yahoo.com/quote/VKTX/
2021-12-09,Vince Holding Corp.,0.15,VNCE,2022-01-10,https://finance.yahoo.com/quote/VNCE/
2022-02-23,Vipshop Holdings Limited,2.71,VIPS,2022-01-10,https://finance.yahoo.com/quote/VIPS/
2022-02-21,Viper Energy Partners LP,1.91,VNOM,2022-01-10,https://finance.yahoo.com/quote/VNOM/
2022-02-14,Vornado Realty Trust,7.95,VNO,2022-01-10,https://finance.yahoo.com/quote/VNO/
2022-03-08,"Vera Bradley, Inc.",5.23,VRA,2022-01-10,https://finance.yahoo.com/quote/VRA/
2022-02-24,"Vmware, Inc.",1.9,VMW,2022-01-10,https://finance.yahoo.com/quote/VMW/
2022-02-15,"Veracyte, Inc.",4.72,VCYT,2022-01-10,https://finance.yahoo.com/quote/VCYT/
2022-02-09,"VeriSign, Inc.",1.17,VRSN,2022-01-10,https://finance.yahoo.com/quote/VRSN/
2022-01-27,Valero Energy Corporation,2.76,VLO,2022-01-10,https://finance.yahoo.com/quote/VLO/
2022-01-10,VOXX International Corporation,1.28,VOXX,2022-01-10,https://finance.yahoo.com/quote/VOXX/
2021-12-02,Verint Systems Inc.,7.28,VRNT,2022-01-10,https://finance.yahoo.com/quote/VRNT/
2022-02-07,"Varonis Systems, Inc.",3.22,VRNS,2022-01-10,https://finance.yahoo.com/quote/VRNS/
2022-02-24,Vistra Corp.,3.76,VST,2022-01-10,https://finance.yahoo.com/quote/VST/
2022-03-14,Vuzix Corporation,21.55,VUZI,2022-01-10,https://finance.yahoo.com/quote/VUZI/
2022-02-22,"Tandem Diabetes Care, Inc.",6.44,TNDM,2022-01-10,https://finance.yahoo.com/quote/TNDM/
2022-01-31,Vertex Pharmaceuticals Incorpor,1.26,VRTX,2022-01-10,https://finance.yahoo.com/quote/VRTX/
2022-02-07,"Voya Financial, Inc.",15.93,VOYA,2022-01-10,https://finance.yahoo.com/quote/VOYA/
2022-02-23,"Vir Biotechnology, Inc.",3.86,VIR,2022-01-10,https://finance.yahoo.com/quote/VIR/
